,bra size,cup size,fit,height,hips,item_id,length,quality,size,user_id,waist,hip_waist_ratio
0,34.0,d,small,66.0,38.0,123373,just right,5.0,7,991571,29.0,0.7631578947368421
1,36.0,b,small,62.0,30.0,123373,just right,3.0,13,587883,31.0,1.0333333333333334
2,32.0,b,small,67.0,35.0,123373,slightly long,2.0,7,395665,30.0,0.8571428571428571
5,36.0,c,small,64.0,34.0,123373,just right,5.0,11,162012,28.0,0.8235294117647058
6,32.0,b,large,63.0,36.0,123373,just right,1.0,5,114843,31.0,0.8611111111111112
239,34.0,dd/e,fit,65.0,41.0,124761,just right,3.0,7,242643,31.0,0.7560975609756098
299,34.0,c,fit,67.0,40.0,125442,just right,5.0,11,575252,28.0,0.7
1066,34.0,a,fit,64.0,38.0,125602,just right,5.0,5,877917,28.0,0.7368421052631579
1067,32.0,b,fit,64.0,40.0,126560,just right,5.0,4,138702,26.0,0.65
1068,36.0,c,fit,68.0,51.0,126560,slightly short,3.0,12,534811,44.0,0.8627450980392157
1069,36.0,c,fit,67.0,35.0,126560,slightly short,5.0,8,88648,30.0,0.8571428571428571
1070,34.0,c,small,71.0,46.0,126560,just right,3.0,8,689770,38.0,0.8260869565217391
1071,38.0,dd/e,small,69.0,34.0,126560,slightly short,4.0,15,805439,29.0,0.8529411764705882
1171,34.0,dd/e,fit,69.0,33.0,126885,just right,3.0,12,791680,33.0,1.0
1174,36.0,c,fit,68.0,41.0,126885,just right,5.0,15,915410,33.0,0.8048780487804879
1175,36.0,d,fit,68.0,31.0,126885,just right,5.0,12,342774,26.0,0.8387096774193549
1176,40.0,ddd/f,fit,63.0,31.0,126885,just right,5.0,26,251459,26.0,0.8387096774193549
1178,36.0,dd/e,fit,68.0,42.0,126885,just right,4.0,12,759510,36.0,0.8571428571428571
1180,,,small,66.0,44.0,126885,just right,3.0,20,995580,36.0,0.8181818181818182
1741,34.0,a,fit,64.0,45.0,127008,just right,3.0,1,528379,40.0,0.8888888888888888
1742,42.0,c,small,66.0,38.0,127008,just right,3.0,8,964784,32.0,0.8421052631578947
1744,32.0,d,small,65.0,48.0,127008,just right,4.0,4,953630,32.0,0.6666666666666666
1745,32.0,dd/e,fit,63.0,33.0,127008,slightly long,5.0,8,427756,26.0,0.7878787878787878
1747,34.0,b,fit,64.0,52.0,127779,just right,4.0,8,65678,36.0,0.6923076923076923
1748,32.0,c,fit,64.0,33.0,128458,just right,5.0,4,248056,28.0,0.8484848484848485
1749,28.0,b,fit,63.0,55.0,128458,just right,5.0,1,208480,41.0,0.7454545454545455
1750,34.0,dddd/g,fit,59.0,39.0,129268,just right,4.0,8,228374,29.0,0.7435897435897436
1751,38.0,ddd/f,fit,63.0,44.0,129268,just right,1.0,12,317289,34.0,0.7727272727272727
1752,36.0,c,fit,67.0,37.0,129268,just right,5.0,12,303426,28.0,0.7567567567567568
2334,34.0,a,fit,63.0,36.0,130424,just right,2.0,8,228652,31.0,0.8611111111111112
2336,42.0,dd/e,fit,66.0,38.0,130424,just right,5.0,32,789325,28.0,0.7368421052631579
2367,34.0,c,fit,66.0,36.0,131951,just right,5.0,8,4272,26.0,0.7222222222222222
2368,32.0,a,small,69.0,38.0,131951,just right,5.0,4,977532,28.0,0.7368421052631579
2507,36.0,c,large,69.0,36.0,132768,just right,3.0,8,776716,28.0,0.7777777777777778
2510,32.0,b,small,64.0,39.0,133565,just right,5.0,4,401977,27.0,0.6923076923076923
2511,36.0,,large,67.0,36.0,133565,just right,5.0,15,276719,29.0,0.8055555555555556
2512,42.0,c,fit,68.0,39.0,133565,just right,5.0,26,334826,31.0,0.7948717948717948
2513,38.0,b,large,68.0,32.0,134278,just right,4.0,15,476544,27.0,0.84375
2514,42.0,c,fit,68.0,50.0,134278,just right,5.0,26,981685,43.0,0.86
2515,36.0,c,fit,64.0,33.0,134609,just right,4.0,12,390042,27.0,0.8181818181818182
2527,36.0,b,fit,63.0,41.0,136482,just right,5.0,12,10591,35.0,0.8536585365853658
2528,36.0,dd/e,fit,66.0,46.0,136482,just right,5.0,12,883694,39.0,0.8478260869565217
2529,34.0,c,fit,64.0,32.0,136482,just right,4.0,4,875144,28.0,0.875
2530,34.0,,fit,69.0,41.0,136482,slightly short,3.0,12,654588,31.0,0.7560975609756098
2531,36.0,d,fit,61.0,31.0,136482,just right,4.0,15,308580,27.0,0.8709677419354839
2534,32.0,b,fit,61.0,38.0,136482,just right,4.0,4,770212,28.0,0.7368421052631579
2536,38.0,b,fit,66.0,39.0,136482,just right,5.0,8,988527,28.0,0.717948717948718
2537,38.0,c,fit,66.0,45.0,136482,just right,5.0,12,172810,38.0,0.8444444444444444
2539,36.0,dd/e,fit,61.0,41.0,136482,just right,4.0,8,939800,29.0,0.7073170731707317
2540,40.0,c,fit,64.0,36.0,136482,just right,4.0,15,400850,29.0,0.8055555555555556
2541,36.0,dd/e,fit,66.0,36.0,136482,just right,4.0,12,355057,28.0,0.7777777777777778
2542,28.0,dddd/g,fit,62.0,51.0,136482,just right,5.0,4,378138,43.0,0.8431372549019608
2543,34.0,b,fit,68.0,42.0,136482,slightly short,5.0,8,432957,35.0,0.8333333333333334
2544,36.0,c,fit,67.0,35.0,136482,just right,5.0,8,508285,25.0,0.7142857142857143
2545,34.0,b,fit,62.0,49.0,136482,just right,5.0,12,958980,43.0,0.8775510204081632
2546,34.0,dd/e,fit,64.0,43.0,136482,just right,5.0,4,928956,41.0,0.9534883720930233
2547,32.0,d,large,63.0,36.0,136482,slightly long,2.0,8,871661,27.0,0.75
2552,36.0,,fit,63.0,36.0,136482,just right,5.0,8,81669,31.0,0.8611111111111112
3185,34.0,a,fit,68.0,39.224137931034484,137040,just right,5.0,9,358792,31.53448275862069,0.8039560439560439
3186,32.0,ddd/f,fit,61.0,39.224137931034484,137040,just right,5.0,9,247843,31.53448275862069,0.8039560439560439
3243,34.0,d,fit,64.0,39.224137931034484,138006,slightly long,4.0,12,595793,31.53448275862069,0.8039560439560439
3244,40.0,dd/e,fit,66.0,39.224137931034484,138006,just right,4.0,12,237241,31.53448275862069,0.8039560439560439
3245,40.0,d,fit,67.0,39.224137931034484,138006,just right,5.0,12,272578,31.53448275862069,0.8039560439560439
3246,38.0,c,fit,67.0,39.224137931034484,138006,just right,4.0,15,674136,31.53448275862069,0.8039560439560439
3247,32.0,dd/e,fit,65.0,39.224137931034484,138006,just right,5.0,4,407430,31.53448275862069,0.8039560439560439
3248,36.0,c,fit,65.0,39.224137931034484,138006,slightly long,4.0,12,238861,31.53448275862069,0.8039560439560439
3258,38.0,c,fit,63.0,39.224137931034484,138997,slightly long,5.0,26,385929,31.53448275862069,0.8039560439560439
3259,34.0,dd/e,small,69.0,39.224137931034484,138997,just right,4.0,8,642148,31.53448275862069,0.8039560439560439
3261,32.0,a,small,62.0,39.224137931034484,139123,just right,1.0,5,896460,31.53448275862069,0.8039560439560439
3262,34.0,a,fit,63.0,39.224137931034484,139123,just right,5.0,5,996824,31.53448275862069,0.8039560439560439
3263,38.0,dd/e,small,67.0,39.224137931034484,139123,just right,5.0,21,826460,31.53448275862069,0.8039560439560439
3264,38.0,b,small,67.0,39.224137931034484,139123,just right,4.0,15,735850,31.53448275862069,0.8039560439560439
3315,34.0,dd/e,fit,60.0,39.224137931034484,139838,slightly short,4.0,8,457825,31.53448275862069,0.8039560439560439
3420,34.0,dddd/g,small,66.0,39.224137931034484,140292,slightly long,4.0,15,971050,31.53448275862069,0.8039560439560439
3421,32.0,ddd/f,fit,66.0,39.224137931034484,140292,slightly long,5.0,4,72607,31.53448275862069,0.8039560439560439
3423,38.0,ddd/f,small,71.0,39.224137931034484,140372,just right,2.0,15,332712,31.53448275862069,0.8039560439560439
3425,,,large,67.0,39.224137931034484,140372,just right,4.0,26,525004,31.53448275862069,0.8039560439560439
3427,36.0,b,large,64.0,39.224137931034484,140372,just right,5.0,8,403913,31.53448275862069,0.8039560439560439
3428,42.0,b,fit,69.0,39.224137931034484,140372,slightly short,3.0,32,577890,31.53448275862069,0.8039560439560439
3430,34.0,dd/e,fit,63.0,39.224137931034484,140372,just right,4.0,8,323092,31.53448275862069,0.8039560439560439
3432,36.0,d,fit,67.0,39.224137931034484,141102,slightly long,4.0,12,868165,31.53448275862069,0.8039560439560439
3433,34.0,b,fit,65.0,39.224137931034484,141102,just right,3.0,4,911321,31.53448275862069,0.8039560439560439
3434,38.0,d,large,68.0,39.224137931034484,141102,slightly long,3.0,15,518763,31.53448275862069,0.8039560439560439
3441,36.0,dd/e,small,64.0,39.224137931034484,141850,just right,5.0,12,381646,31.53448275862069,0.8039560439560439
