,bra size,cup size,fit,height,hips,item_id,length,quality,size,user_id,waist,hip_waist_ratio
3,,dd/e,fit,65.07546831585552,,123373,just right,5.0,21,875643,,0.8475235268649493
9,36.0,dd/e,fit,66.0,41.0,123373,just right,5.0,13,950172,35.0,0.8536585365853658
12,34.0,c,fit,65.0,,123373,just right,5.0,5,42840,,0.8475235268649493
13,34.0,dd/e,fit,65.0,,123373,just right,4.0,7,767255,,0.8475235268649493
14,34.0,b,fit,63.0,36.0,123373,just right,5.0,3,510154,31.0,0.8611111111111112
15,40.0,c,fit,64.0,50.0,123373,just right,4.0,27,780339,42.0,0.84
16,36.0,d,fit,62.0,44.0,123373,just right,5.0,18,936337,37.0,0.8409090909090909
24,38.0,d,fit,64.0,,123373,just right,4.0,18,966536,,0.8475235268649493
26,46.0,d,fit,63.0,,123373,just right,5.0,30,585033,,0.8475235268649493
28,44.0,dddd/g,fit,64.0,48.0,123373,just right,5.0,30,884093,41.0,0.8541666666666666
30,36.0,b,fit,69.0,40.0,123373,just right,4.0,9,567646,34.0,0.85
33,38.0,dddd/g,fit,66.0,,123373,just right,5.0,30,774787,,0.8475235268649493
34,40.0,dd/e,fit,64.0,35.0,123373,just right,5.0,21,269613,30.0,0.8571428571428571
36,36.0,c,fit,67.0,,123373,just right,5.0,18,634656,,0.8475235268649493
37,38.0,b,fit,66.0,46.0,123373,just right,5.0,18,483513,39.0,0.8478260869565217
39,36.0,ddd/f,fit,64.0,,123373,just right,5.0,15,18273,,0.8475235268649493
43,36.0,dd/e,fit,65.07546831585552,,123373,just right,5.0,15,670919,,0.8475235268649493
45,34.0,dd/e,fit,71.0,30.0,123373,just right,5.0,7,931858,26.0,0.8666666666666667
46,36.0,c,fit,69.0,40.0,123373,just right,4.0,11,162570,34.0,0.85
50,38.0,d,fit,64.0,50.0,123373,just right,5.0,21,756055,42.0,0.84
52,34.0,ddd/f,fit,67.0,,123373,just right,5.0,15,572453,,0.8475235268649493
54,38.0,d,fit,63.0,40.0,124024,just right,5.0,21,771038,34.0,0.85
55,32.0,c,fit,67.0,32.0,124024,just right,5.0,5,940182,27.0,0.84375
57,34.0,a,fit,66.0,39.0,124024,just right,5.0,7,184197,33.0,0.8461538461538461
61,,,fit,63.0,,124024,just right,5.0,9,277450,,0.8475235268649493
62,34.0,dd/e,fit,66.0,35.0,124024,just right,4.0,9,281008,30.0,0.8571428571428571
